primaryDomain_s,doiId_s,submittedDateY_i,docType_s,mds
shs.langue,,2016,COMM,0.41935
shs.langue,10.3917/lf.163.0099,2017,ART,0.87097
shs.langue,10.3917/lf.160.0037,2017,ART,0.87097
shs.langue,10.4000/ml.353,2017,ART,0.87097
shs.langue,,2017,COUV,0.80645
shs.langue,,2020,ART,0.09677
shs.langue,,2015,ART,0.80645
shs.langue,,2015,ART,0.80645
shs.langue,,2015,ART,0.67742
shs.langue,,2015,ART,0.80645
shs.langue,,2018,COUV,0.09677
shs.langue,,2018,DOUV,0.09677
shs.langue,,2018,ART,0.09677
shs.langue,,2018,COUV,0.09677
shs.langue,10.4000/aad.2511,2018,ART,0.29032
shs.langue,,2019,COUV,0.80645
shs.langue,,2016,DOUV,0.41935
shs.langue,,2014,ART,0.41935
shs.langue,,2016,COUV,0.41935
shs.langue,,2019,DOUV,0.67742
shs.langue,,2017,HDR,0.54839
shs.langue,10.4000/babel.4691,2017,ART,0.87097
shs.langue,,2015,ART,0.67742
shs.langue,,2015,COUV,0.80645
shs.scipo,10.4000/mots.20991,2013,DOUV,0.87097
shs.langue,,2016,COUV,0.09677
shs.langue,,2016,DOUV,0.41935
shs.langue,,2015,ART,0.67742
shs.langue,,2018,COUV,0.48387
shs.langue,,2016,COUV,0.09677
shs.langue,,2016,ART,0.41935
shs.langue,,2016,COUV,0.41935
shs.langue,,2021,COUV,0.67742
shs.litt,10.4000/babel.1418,2016,ART,0.87097
shs.litt,10.4000/babel.1495,2016,ART,0.87097
shs.litt,10.4000/babel.1093,2016,ART,0.87097
shs.litt,10.4000/babel.2719,2016,ART,0.87097
shs.litt,,2016,ART,0.67742
shs.litt,,2021,COUV,0.22581
shs.langue,,2021,ART,0.09677
shs.langue,,2017,COMM,0.41935
shs.langue,10.1080/00393274.2019.1616219,2019,ART,0.29032
shs.langue,,2019,COUV,0.80645
shs.langue,,2016,COMM,0.41935
shs.langue,,2016,COMM,0.41935
shs.langue,,2021,ART,0.54839
shs.langue,10.15122/isbn.978-2-406-07057-3.p.0007,2017,ART,0.6129
shs.langue,10.15122/isbn.978-2-406-07057-3.p.0007,2017,DOUV,0.6129
shs.langue,,2017,ART,0.41935
shs,,2020,COMM,0.09677
shs.langue,,2017,ART,0.41935
shs.langue,10.1177/1750481320917575,2021,ART,1.0
shs.langue,,2021,ART,0.54839
shs.langue,,2017,ART,0.41935
shs.langue,,2021,ART,0.09677
shs.langue,,2021,COUV,0.09677
shs.litt,,2019,OUV,0.67742
shs.litt,,2019,ART,0.54839
shs.litt,,2019,COUV,0.09677
shs.litt,,2019,DOUV,0.41935
shs.litt,10.4000/eve.1181,2018,ART,0.87097
shs.litt,10.3406/rhren.2014.3362,2018,ART,0.87097
shs.litt,10.3406/xvi.2014.1100,2018,ART,0.87097
shs.litt,10.3917/rhren.080.0069,2018,ART,0.87097
shs.litt,,2018,ART,0.67742
shs.litt,10.15122/isbn.978-2-406-07775-6.p.0127,2018,ART,0.87097
shs.litt,10.15122/isbn.978-2-406-06298-1.p.0391,2018,ART,0.87097
shs.litt,10.15122/isbn.978-2-8124-2023-8,2018,OUV,0.87097
shs.litt,,2019,ART,0.67742
shs.litt,,2017,COMM,0.80645
shs.litt,10.4000/crm.14148,2021,ART,0.29032
shs.litt,10.4000/crm.13829,2021,ART,0.29032
shs.litt,10.4000/crm.16557,2021,ART,0.29032
shs.litt,10.4000/crm.13794,2021,ART,0.29032
shs.litt,10.4000/crm.13246,2021,ART,0.29032
shs.litt,10.4000/crm.13296,2021,ART,0.29032
shs.litt,10.15122/isbn.978-2-406-09030-4.p.0413,2019,ART,0.87097
shs.litt,,2022,ART,0.35484
shs.litt,,2019,COUV,0.67742
shs.litt,,2021,COUV,0.67742
shs.litt,10.15122/isbn.978-2-406-10004-1.p.0041,2020,COUV,0.6129
shs.litt,,2019,DOUV,0.41935
shs.litt,,2021,OUV,0.41935
shs.litt,,2021,ART,0.35484
shs.litt,,2021,COUV,0.67742
shs.litt,,2018,COMM,0.67742
shs.litt,,2021,OUV,0.67742
shs.litt,,2017,VIDEO,0.80645
shs.litt,10.15122/isbn.978-2-406-08862-2.p.0183,2021,ART,0.29032
shs.litt,10.15122/isbn.978-2-406-07183-9.p.0211,2021,ART,0.29032
shs.litt,10.4000/babel.2009,2016,ART,0.87097
shs.litt,,2018,ART,0.48387
shs.litt,10.1007/978-3-030-69121-9_5,2021,COUV,0.54839
shs.litt,10.15122/isbn.978-2-406-11263-1.p.0163,2021,ART,0.87097
shs.litt,10.15122/isbn.978-2-406-10176-5.p.0105,2021,COUV,0.87097
shs.litt,,2021,ART,0.67742
shs.litt,,2021,ART,0.67742
shs,,2017,OUV,0.67742
shs.langue,,2016,COMM,0.41935
shs.langue,,2020,ART,0.09677
shs.langue,,2018,DOUV,0.09677
shs.langue,,2016,COUV,0.09677
shs.langue,,2016,DOUV,0.41935
shs.langue,,2016,COUV,0.41935
shs.langue,,2016,COUV,0.41935
shs.langue,,2016,COUV,0.41935
shs.langue,,2016,COUV,0.41935
shs.langue,,2016,COUV,0.41935
shs.langue,,2016,COUV,0.41935
shs.langue,,2016,COUV,0.09677
shs.langue,,2016,NOTE,0.41935
shs.langue,,2016,NOTE,0.41935
shs.langue,,2016,NOTE,0.41935
shs.langue,,2016,COUV,0.41935
shs.langue,,2016,COMM,0.41935
shs.langue,,2016,COUV,0.41935
shs.langue,,2016,COMM,0.09677
shs.langue,,2016,COMM,0.41935
shs.langue,,2016,COMM,0.41935
shs.langue,,2016,COMM,0.41935
shs.langue,,2016,COUV,0.41935
shs.langue,,2016,ART,0.09677
shs.langue,,2016,ART,0.09677
shs.langue,,2016,COMM,0.41935
shs.langue,,2015,ART,0.67742
shs.langue,,2015,DOUV,0.67742
shs.langue,,2015,ART,0.41935
shs.langue,,2015,DOUV,0.67742
shs.langue,,2015,COUV,0.67742
shs.langue,,2016,COMM,0.41935
shs.langue,,2015,COUV,0.41935
shs.langue,,2016,ART,0.41935
shs.langue,,2016,COUV,0.41935
shs.langue,,2016,COUV,0.41935
shs.langue,,2016,ART,0.41935
shs.langue,,2016,NOTE,0.41935
shs.langue,,2016,COMM,0.41935
shs.langue,,2016,COMM,0.09677
shs.langue,,2016,COMM,0.41935
shs.langue,,2016,COMM,0.41935
shs.langue,,2016,COMM,0.41935
shs.langue,,2016,COMM,0.41935
shs.langue,,2016,COUV,0.41935
shs.langue,,2015,COUV,0.67742
shs.langue,,2015,ART,0.67742
shs.langue,,2015,COUV,0.41935
shs.langue,,2015,ART,0.41935
shs.langue,,2015,ART,0.67742
shs.langue,,2015,COUV,0.67742
shs.langue,,2015,DOUV,0.67742
shs.langue,,2015,COUV,0.67742
shs.langue,,2016,COUV,0.09677
shs.langue,,2016,ART,0.41935
shs.langue,,2016,OUV,0.09677
shs.langue,,2016,COUV,0.41935
shs.langue,,2016,ART,0.41935
shs.langue,,2016,NOTE,0.41935
shs.langue,,2016,NOTE,0.41935
shs.langue,,2016,COMM,0.41935
shs.langue,,2016,COMM,0.41935
shs.langue,,2016,COMM,0.09677
shs.langue,,2016,COMM,0.41935
shs.langue,,2016,COMM,0.41935
shs.langue,,2016,COMM,0.41935
shs.langue,,2016,COMM,0.41935
shs.langue,,2016,COMM,0.41935
shs.langue,,2016,COUV,0.41935
shs.langue,,2016,COUV,0.41935
shs.langue,,2016,ART,0.09677
shs.langue,,2016,COMM,0.41935
shs.langue,,2016,NOTE,0.41935
shs.langue,,2016,COUV,0.41935
shs.archi,10.14428/emulations.033.04,2020,ART,0.67742
shs.archi,,2021,COMM,0.09677
shs,10.4000/eps.8725,2019,ART,0.87097
shs.geo,,2019,ART,0.35484
shs,,2016,ART,0.67742
shs,,2016,ART,0.67742
shs.geo,10.1080/14616688.2017.1375972,2017,ART,1.0
shs,,2017,ART,0.80645
shs.geo,,2017,REPORT,0.80645
shs.geo,10.1080/09654313.2017.1368457,2017,ART,1.0
shs.hist,10.3917/ag.714.0195,2020,ART,1.0
shs.geo,10.1080/14616688.2017.1300936,2017,ART,1.0
shs,10.4000/cybergeo.29473,2020,ART,0.67742
shs.droit,,2021,ART,0.09677
shs.droit,,2021,ART,0.09677
shs.droit,,2021,COUV,0.41935
shs.droit,,2021,ART,0.09677
shs.droit,,2021,ART,0.09677
shs.droit,,2021,COMM,0.35484
shs.droit,,2021,ART,0.09677
shs.droit,,2021,DOUV,0.67742
shs.droit,,2021,COUV,0.41935
shs.droit,,2021,ART,0.35484
shs.droit,,2021,COMM,0.09677
shs.droit,,2021,ART,0.09677
shs.droit,,2021,COMM,0.09677
shs.droit,,2021,COUV,0.41935
shs.droit,,2021,OUV,0.67742
shs.droit,,2021,ART,0.09677
shs.droit,,2021,DOUV,0.09677
shs.droit,,2021,ART,0.09677
shs.droit,,2021,DOUV,0.09677
shs.droit,,2021,ART,0.09677
shs.droit,,2021,ART,0.09677
shs.droit,,2021,ART,0.09677
shs.droit,,2019,COMM,0.09677
shs.droit,,2021,COMM,0.09677
shs.droit,,2021,COUV,0.41935
shs.droit,,2021,COMM,0.09677
shs.droit,,2021,COMM,0.09677
shs.droit,,2021,COUV,0.41935
shs.droit,,2021,COMM,0.09677
shs.droit,,2021,COMM,0.09677
shs.droit,,2021,COMM,0.09677
shs.droit,,2021,COMM,0.09677
shs.droit,,2006,ART,0.41935
shs.droit,10.3917/rfdc.072.0719,2018,ART,0.6129
shs.droit,,2018,COMM,0.41935
shs.droit,,2018,COUV,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2018,DOUV,0.09677
shs.droit,,2019,ART,0.41935
shs.droit,,2019,COMM,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.35484
shs.droit,,2019,ART,0.41935
shs.droit,,2019,COMM,0.41935
shs.droit,,2018,ART,0.67742
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.67742
shs.droit,,2018,COMM,0.41935
shs.droit,,2019,COUV,0.41935
shs.droit,,2018,COMM,0.41935
shs.droit,,2019,COMM,0.67742
shs.droit,,2018,COUV,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2019,COUV,0.41935
shs.droit,,2019,COMM,0.41935
shs.droit,,2018,ART,0.67742
shs.droit,,2018,COUV,0.41935
shs.droit,,2018,COMM,0.67742
shs.droit,,2019,COUV,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2006,COMM,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2006,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2006,COUV,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2006,ART,0.41935
shs.droit,,2006,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,COUV,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2006,ART,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2018,DOUV,0.41935
shs.droit,,2018,ART,0.80645
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.67742
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.67742
shs.droit,,2018,ART,0.41935
shs.droit,,2019,COUV,0.41935
shs.droit,,2018,COMM,0.41935
shs.droit,,2018,ART,0.80645
shs.droit,,2018,COUV,0.67742
shs.droit,,2019,COUV,0.41935
shs.droit,,2019,COMM,0.41935
shs.droit,,2018,DOUV,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2018,COMM,0.67742
shs.droit,,2020,REPORT,0.67742
shs.droit,,2018,ART,0.67742
shs.droit,,2018,OTHER,0.67742
shs.droit,,2018,ART,0.41935
shs.droit,,2018,REPORT,0.67742
shs.droit,,2018,COMM,0.41935
shs.droit,,2018,ART,0.67742
shs.droit,,2018,ART,0.41935
shs.droit,,2018,REPORT,0.41935
shs.droit,,2018,COMM,0.41935
shs.droit,,2018,ART,0.67742
shs.droit,,2018,ART,0.67742
shs.droit,,2018,COUV,0.67742
shs.droit,,2018,COMM,0.67742
shs.droit,,2018,ART,0.67742
shs.droit,,2018,ART,0.67742
shs.droit,,2018,OTHER,0.67742
shs.droit,,2018,COMM,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,COMM,0.41935
shs.droit,,2018,ART,0.67742
shs.droit,,2018,ART,0.41935
shs.droit,,2018,COMM,0.67742
shs.droit,,2018,ART,0.67742
shs.droit,,2018,COMM,0.41935
shs.droit,,2018,ART,0.67742
shs.droit,,2018,ART,0.67742
shs.droit,,2018,COMM,0.67742
shs.droit,,2018,COMM,0.41935
shs.droit,,2018,ART,0.67742
shs.droit,,2018,ART,0.67742
shs.droit,,2018,ART,0.67742
shs.droit,,2018,OTHER,0.67742
shs.droit,,2018,ART,0.41935
shs.droit,,2018,COMM,0.67742
shs.droit,,2018,COMM,0.67742
shs.droit,,2018,DOUV,0.67742
shs.droit,,2018,COMM,0.67742
shs.droit,,2018,COUV,0.67742
shs.droit,,2018,COMM,0.67742
shs.droit,,2018,OTHER,0.67742
shs.droit,,2020,ART,0.54839
shs.droit,,2020,ART,0.80645
shs.droit,,2019,ART,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2019,OUV,0.41935
shs.droit,,2019,COMM,0.41935
shs.droit,,2019,COUV,0.41935
shs.droit,,2021,UNDEFINED,0.80645
shs.droit,10.3917/rfdc.057.0159,2010,ART,0.6129
shs.droit,,2021,COUV,0.67742
shs.info.theo,,2018,DOUV,0.09677
shs.info.theo,,2018,DOUV,0.09677
shs.info,,2018,DOUV,0.35484
shs.droit,,2021,COMM,0.09677
shs.droit,,2019,ART,0.41935
shs.droit,,2019,COMM,0.41935
shs.droit,,2019,COMM,0.09677
shs.droit,,2020,COUV,0.09677
shs.droit,,2019,ART,0.41935
shs.droit,,2014,OUV,0.67742
shs.droit,,2019,COMM,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2019,COMM,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2019,COMM,0.41935
shs.droit,,2021,ART,0.41935
shs.droit,,2018,COMM,0.41935
shs.droit,,2019,OUV,0.09677
shs.droit,,2021,OUV,0.09677
shs.droit,,2021,COMM,0.41935
shs.droit,,2021,COUV,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2019,COMM,0.41935
shs.droit,,2019,COMM,0.41935
shs.droit,,2019,COMM,0.41935
shs.droit,,2019,ART,0.09677
shs.droit,,2019,COMM,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2019,COUV,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2018,COUV,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2019,COMM,0.41935
shs.droit,,2019,COUV,0.41935
shs.droit,,2019,COMM,0.09677
shs.droit,,2019,DOUV,0.41935
shs.droit,,2019,COMM,0.41935
shs.droit,,2021,COMM,0.09677
shs.droit,,2018,ART,0.41935
shs.droit,,2018,COMM,0.41935
shs.droit,,2006,ART,0.41935
shs.droit,,2018,COUV,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,COMM,0.41935
shs.droit,,2018,COMM,0.41935
shs.droit,,2018,ART,0.09677
shs,10.3917/rfdc.105.0077,2018,ART,0.87097
shs.droit,,2018,DOUV,0.67742
shs,,2018,COMM,0.41935
shs.droit,,2018,ART,0.67742
shs.droit,,2018,COMM,0.41935
shs.droit,,2018,COMM,0.41935
shs.droit,,2018,COMM,0.41935
shs.droit,,2019,DOUV,0.67742
shs,,2018,ART,0.67742
shs.droit,,2018,ART,0.41935
shs.droit,,2018,COMM,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2019,ART,0.41935
shs,,2018,ART,0.67742
shs.droit,,2018,COMM,0.41935
shs.droit,,2018,COUV,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,COMM,0.41935
shs.droit,,2018,COUV,0.41935
shs.droit,,2018,COUV,0.41935
shs.droit,,2006,ART,0.41935
shs.droit,,2018,COUV,0.41935
shs.droit,,2006,ART,0.41935
shs.droit,,2006,ART,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2018,COMM,0.41935
shs,,2018,ART,0.67742
shs.droit,,2006,OUV,0.41935
shs.droit,,2006,ART,0.41935
shs.droit,10.3917/rfdc.106.0501,2017,ART,0.6129
shs.droit,,2019,ART,0.67742
shs.droit,,2018,ART,0.09677
shs,,2018,ART,0.67742
shs,,2018,COMM,0.41935
shs.droit,,2018,COMM,0.41935
shs.droit,,2018,COMM,0.41935
shs.droit,,2018,DOUV,0.67742
shs.droit,,2018,COMM,0.67742
shs.droit,,2018,ART,0.41935
shs,,2018,COMM,0.41935
shs,,2018,ART,0.67742
shs.droit,,2018,REPORT,0.41935
shs.droit,,2018,COMM,0.41935
shs,,2018,COUV,0.41935
shs.droit,,2018,COUV,0.80645
shs.droit,,2017,DOUV,0.22581
shs,,2018,COUV,0.67742
shs.droit,,2020,DOUV,0.67742
shs.droit,,2018,COMM,0.09677
shs.droit,,2021,COUV,0.67742
shs.droit,,2020,ART,0.41935
shs.droit,,2021,IMG,0.80645
shs.droit,,2020,COMM,0.41935
shs.droit,,2020,COMM,0.41935
shs.droit,,2020,ART,0.09677
shs.droit,,2021,COUV,0.09677
shs.droit,,2020,COMM,0.67742
shs.droit,,2020,COMM,0.09677
shs.droit,,2021,IMG,0.80645
shs.droit,,2021,ART,0.09677
shs.droit,,2021,REPORT,0.09677
shs.droit,,2021,REPORT,0.09677
shs.droit,,2021,ART,0.09677
shs.droit,,2021,ART,0.09677
shs.droit,,2021,ART,0.09677
shs.droit,,2021,COMM,0.09677
shs.droit,,2021,COMM,0.09677
shs.droit,,2021,COMM,0.35484
shs.droit,,2021,ART,0.09677
shs.droit,,2021,COMM,0.41935
shs.droit,,2021,COMM,0.41935
shs.droit,,2021,COMM,0.09677
shs.droit,,2020,COMM,0.09677
shs.droit,,2021,IMG,0.80645
shs.droit,,2021,IMG,0.80645
shs.droit,,2018,IMG,0.80645
shs.droit,,2021,IMG,0.80645
shs.droit,,2019,COUV,0.09677
shs.droit,,2021,ART,0.67742
shs.droit,,2021,ART,0.09677
shs.droit,,2021,ART,0.09677
shs.droit,,2021,COMM,0.09677
shs.droit,,2021,ART,0.09677
shs.droit,,2021,OTHER,0.09677
shs.droit,,2021,COMM,0.09677
shs.droit,,2021,OTHER,0.09677
shs.droit,,2021,OTHER,0.09677
shs.droit,,2021,OTHER,0.09677
shs.droit,,2021,ART,0.09677
shs.droit,,2018,COMM,0.09677
shs.droit,,2020,COMM,0.09677
shs.droit,,2018,DOUV,0.09677
shs.droit,,2018,COMM,0.41935
shs.droit,,2018,COMM,0.09677
shs.droit,,2018,COMM,0.09677
shs.droit,,2018,COMM,0.41935
shs.droit,,2018,OTHER,0.09677
shs.droit,,2018,COMM,0.09677
shs.droit,,2018,OTHER,0.67742
shs.droit,,2018,COMM,0.09677
shs.droit,,2018,COMM,0.41935
shs.droit,,2019,COMM,0.09677
shs.droit,,2017,COUV,0.41935
shs.droit,,2019,COUV,0.41935
shs.droit,,2019,COMM,0.09677
shs.droit,,2020,COMM,0.09677
shs.droit,,2017,COUV,0.67742
shs.droit,,2020,ART,0.09677
shs.droit,,2019,OTHER,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2019,COUV,0.41935
shs.droit,,2017,COUV,0.67742
shs.droit,,2019,ART,0.41935
shs.droit,,2019,OTHER,0.41935
shs.droit,,2019,COMM,0.41935
shs.droit,,2019,COMM,0.41935
shs.droit,,2019,COMM,0.67742
shs.droit,,2020,ART,0.09677
shs.droit,,2018,COUV,0.09677
shs.droit,,2019,ART,0.41935
shs.droit,,2019,COMM,0.09677
shs.droit,,2018,COUV,0.09677
shs.droit,,2018,ART,0.09677
shs.droit,,2018,COMM,0.09677
shs.droit,,2019,COMM,0.41935
shs.droit,,2020,COMM,0.09677
shs.droit,,2019,COMM,0.41935
shs.droit,,2018,COMM,0.67742
shs.droit,,2018,COUV,0.09677
shs.droit,,2019,OTHER,0.67742
shs.droit,,2020,OUV,0.09677
shs.droit,,2018,ART,0.09677
shs.droit,,2018,ART,0.35484
shs.droit,,2019,COMM,0.09677
shs.droit,,2020,COMM,0.09677
shs.droit,,2019,DOUV,0.67742
shs.droit,,2020,COMM,0.09677
shs.droit,,2019,OTHER,0.41935
shs.droit,,2018,COMM,0.09677
shs.droit,,2019,COMM,0.41935
shs.droit,,2017,DOUV,0.67742
shs.droit,,2018,COMM,0.09677
shs.droit,,2019,REPORT,0.41935
shs.droit,,2017,COUV,0.67742
shs.droit,,2018,COMM,0.67742
shs.droit,,2018,COMM,0.41935
shs.droit,,2018,UNDEFINED,0.67742
shs.droit,,2019,COMM,0.09677
shs.droit,,2018,COMM,0.41935
shs.droit,,2021,REPORT,0.09677
shs.droit,,2021,ART,0.41935
shs.droit,,2021,REPORT,0.09677
shs.droit,,2021,ART,0.09677
shs.droit,,2021,COMM,0.09677
shs.droit,,2021,ART,0.09677
shs.droit,,2021,ART,0.09677
shs.droit,,2021,ART,0.09677
shs.droit,,2021,ART,0.09677
shs.droit,,2021,REPORT,0.09677
shs.droit,,2021,REPORT,0.09677
shs.droit,,2021,REPORT,0.09677
shs.droit,,2020,COMM,0.67742
shs.droit,,2020,COMM,0.67742
shs.droit,,2020,COMM,0.41935
shs.droit,,2019,ART,0.67742
shs.droit,,2021,IMG,0.80645
shs.droit,,2020,ART,0.41935
shs.droit,,2021,IMG,0.80645
shs.droit,,2021,IMG,0.80645
shs.droit,,2020,ART,0.09677
shs.droit,,2020,COMM,0.67742
shs.droit,,2020,COMM,0.41935
shs.droit,,2021,IMG,0.80645
shs.droit,,2020,OTHER,0.35484
shs.droit,,2019,COMM,0.09677
shs.droit,,2021,IMG,0.80645
shs.droit,,2021,IMG,0.80645
shs.droit,,2019,COUV,0.41935
shs.droit,,2020,COMM,0.09677
shs.droit,,2021,IMG,0.80645
shs.droit,,2021,COMM,0.09677
shs.droit,,2021,COMM,0.09677
shs.droit,,2020,COMM,0.41935
shs.droit,,2019,IMG,0.80645
shs.droit,,2021,ART,0.09677
shs.droit,,2019,COUV,0.41935
shs.droit,,2021,IMG,0.80645
shs.droit,,2021,IMG,0.80645
shs.droit,,2018,COUV,0.09677
shs.droit,,2018,COMM,0.35484
shs.droit,,2018,COMM,0.09677
shs.droit,,2018,COUV,0.41935
shs.droit,,2018,COMM,0.09677
shs.droit,,2018,COMM,0.09677
shs.droit,,2018,COMM,0.35484
shs.droit,,2018,ART,0.67742
shs.droit,,2018,COUV,0.09677
shs.droit,,2018,COMM,0.41935
shs.droit,,2018,COMM,0.67742
shs.droit,,2018,COMM,0.41935
shs.droit,,2018,ART,0.67742
shs.droit,,2018,COMM,0.41935
shs.droit,,2018,COUV,0.09677
shs.droit,,2018,COMM,0.09677
shs.droit,,2018,COMM,0.67742
shs.droit,,2018,COMM,0.09677
shs.droit,,2018,COUV,0.67742
shs.droit,,2018,COMM,0.09677
shs.droit,,2018,COUV,0.67742
shs.droit,,2018,COUV,0.67742
shs.droit,,2018,REPORT,0.09677
shs.droit,,2018,REPORT,0.09677
shs.droit,,2018,OUV,0.67742
shs.droit,,2018,COMM,0.09677
shs.droit,,2018,REPORT,0.09677
shs.droit,,2018,OTHER,0.09677
shs.droit,,2018,COMM,0.09677
shs.droit,,2018,OUV,0.67742
shs.droit,,2020,ART,0.41935
shs.droit,,2020,COMM,0.09677
shs.droit,,2020,ART,0.09677
shs.droit,,2018,OUV,0.67742
shs.droit,,2020,COMM,0.09677
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.41935
shs.droit,,2018,ART,0.09677
shs.droit,,2018,COUV,0.41935
shs.droit,,2017,COUV,0.67742
shs.droit,,2019,COMM,0.09677
shs.droit,,2020,COMM,0.41935
shs.droit,,2020,ART,0.09677
shs.droit,,2019,OTHER,0.09677
shs.droit,,2019,REPORT,0.41935
shs.droit,,2018,OUV,0.35484
shs.droit,,2018,COMM,0.09677
shs.droit,,2017,COUV,0.67742
shs.droit,,2020,OUV,0.09677
shs.droit,,2018,COMM,0.41935
shs.droit,,2019,COMM,0.41935
shs.droit,,2018,UNDEFINED,0.09677
shs.droit,,2018,OUV,0.41935
shs.droit,,2019,COMM,0.41935
shs.droit,,2018,ART,0.09677
shs.droit,,2018,ART,0.09677
shs.droit,,2020,COMM,0.09677
shs.droit,,2020,COMM,0.41935
shs.droit,,2021,COMM,0.41935
shs.droit,,2021,ART,0.67742
shs.droit,,2021,COMM,0.41935
shs.droit,,2019,ART,0.67742
shs.droit,,2018,ART,0.67742
shs.droit,,2020,ART,0.67742
shs.droit,,2020,COUV,0.41935
shs.droit,,2020,OTHER,0.41935
shs.droit,,2019,COMM,0.41935
shs.droit,,2019,COMM,0.09677
shs.droit,,2018,OTHER,0.41935
shs.droit,,2017,ART,0.41935
shs.droit,,2020,COUV,0.09677
shs.droit,,2020,COUV,0.41935
shs.droit,,2018,COMM,0.41935
shs.droit,,2017,ART,0.41935
shs.droit,,2017,ART,0.41935
shs.droit,,2019,ART,0.67742
shs.droit,,2017,ART,0.41935
shs.droit,,2020,ART,0.67742
shs.droit,,2017,COMM,0.41935
shs.droit,,2017,ART,0.67742
shs.droit,,2017,COMM,0.41935
shs.droit,,2020,COMM,0.41935
shs.droit,,2017,ART,0.41935
shs.droit,,2020,ART,0.67742
shs.droit,,2018,ART,0.67742
shs.droit,,2017,ART,0.41935
shs.droit,,2017,ART,0.41935
shs.droit,,2017,COMM,0.41935
shs.droit,,2018,ART,0.67742
shs.droit,,2018,ART,0.41935
shs.droit,,2019,ART,0.67742
shs.droit,,2019,ART,0.67742
shs.droit,,2018,COUV,0.41935
shs.droit,,2018,COMM,0.41935
shs.droit,,2019,ART,0.67742
shs.droit,,2017,ART,0.41935
shs.droit,,2017,ART,0.41935
shs.droit,,2017,COMM,0.41935
shs.droit,,2017,ART,0.67742
shs.droit,,2018,ART,0.67742
shs.droit,,2018,ART,0.67742
shs.droit,,2017,ART,0.41935
shs.droit,,2019,COMM,0.41935
shs.droit,,2018,COMM,0.41935
shs.droit,,2017,COMM,0.41935
shs.droit,,2020,ART,0.67742
shs.droit,,2021,ART,0.67742
shs.droit,,2020,ART,0.67742
shs.droit,,2017,ART,0.41935
shs.droit,,2019,ART,0.41935
shs.droit,,2017,COMM,0.41935
shs.droit,,2017,COUV,0.41935
shs.droit,,2017,ART,0.41935
shs.droit,,2017,ART,0.41935
shs.droit,,2017,ART,0.41935
shs.droit,,2017,ART,0.41935
shs.droit,,2017,OUV,0.41935
